age,experience,education,city,salary,monthly_spending,credit_score
31,2,Master,Bangalore,66266,24489,515
20,0,PhD,Bangalore,57508,13629,503
18,0,Master,Pune,32858,15015,568
22,0,Bachelor,Bangalore,18000,5000,589
43,22,Bachelor,Jaipur,178916,93736,654
31,10,Bachelor,Delhi,120620,32735,521
56,34,Bachelor,Delhi,275746,89999,734
44,19,Bachelor,Bangalore,168984,71858,727
26,4,Bachelor,Mumbai,68695,39613,560
32,7,Bachelor,Mumbai,85935,31879,577
32,5,Master,Mumbai,96685,40709,540
43,25,Master,Mumbai,197762,83563,694
59,30,Bachelor,Delhi,236540,71844,673
30,3,Master,Jaipur,38748,21187,605
49,23,Bachelor,Mumbai,190900,96521,638
56,33,Master,Pune,251120,107536,728
49,29,Bachelor,Pune,241271,65696,693
21,0,PhD,Jaipur,35814,23252,612
47,21,Master,Delhi,168813,94377,671
54,31,Bachelor,Jaipur,262337,119119,760
40,12,Bachelor,Bangalore,145752,58139,614
56,32,Bachelor,Bangalore,266367,138582,703
62,44,Bachelor,Bangalore,303847,177910,768
32,10,Bachelor,Pune,135806,66228,569
60,38,Master,Mumbai,313203,134659,761
46,19,Bachelor,Pune,200846,94918,617
53,32,Master,Bangalore,275860,136848,714
30,7,PhD,Pune,104857,30980,619
49,25,Bachelor,Jaipur,215079,88009,738
24,0,Master,Mumbai,33065,16590,556
39,21,Bachelor,Jaipur,186602,89758,689
45,22,Master,Delhi,179868,80362,689
19,0,Bachelor,Delhi,41008,14449,534
59,39,PhD,Delhi,268598,77420,829
62,37,Master,Mumbai,297143,119573,711
23,1,Bachelor,Bangalore,63170,31327,558
45,19,Bachelor,Delhi,172414,64312,703
45,23,Master,Delhi,222912,73628,722
61,35,Master,Jaipur,279043,159028,725
61,34,Bachelor,Pune,291539,95322,759
37,16,Bachelor,Pune,134325,42324,621
47,21,Master,Jaipur,199429,113553,635
28,6,Bachelor,Pune,81488,40625,531
45,18,PhD,Delhi,161203,86091,668
42,16,Bachelor,Mumbai,111391,64827,663
56,36,Bachelor,Pune,283184,82162,707
50,29,Master,Mumbai,241701,124051,705
18,0,Bachelor,Pune,46430,21135,656
44,17,Bachelor,Delhi,180914,91880,680
30,2,Bachelor,Mumbai,83525,35010,523
58,35,Bachelor,Bangalore,300194,139850,765
20,1,Master,Bangalore,33068,17604,519
56,32,Bachelor,Bangalore,256427,104188,594
23,4,Master,Pune,73583,33610,569
25,0,Master,Delhi,45294,21060,612
44,25,Master,Delhi,233925,107101,730
26,0,Bachelor,Jaipur,75190,29029,565
54,36,Bachelor,Pune,320007,139082,708
50,22,PhD,Delhi,215409,108159,679
59,31,Master,Pune,263918,147088,694
61,32,Master,Mumbai,283739,147180,689
41,13,Bachelor,Bangalore,154921,93150,657
32,12,Bachelor,Delhi,116790,53873,588
49,26,Master,Pune,210510,90814,725
49,24,Master,Pune,193988,93189,646
41,15,Master,Mumbai,129854,65331,707
58,34,Master,Jaipur,254270,114290,654
29,8,Master,Bangalore,95248,50351,551
56,33,Bachelor,Mumbai,252503,121755,708
19,0,Bachelor,Delhi,22747,10124,470
20,0,Bachelor,Mumbai,45518,8328,447
54,36,Bachelor,Delhi,288724,112928,650
34,16,Master,Bangalore,152444,90504,618
19,0,Bachelor,Pune,54977,26451,539
19,0,Bachelor,Bangalore,47467,23477,563
45,18,Bachelor,Mumbai,187283,109918,632
40,11,Bachelor,Delhi,117699,51550,616
54,35,Bachelor,Mumbai,303676,132435,706
49,27,Bachelor,Bangalore,230396,114828,713
50,32,Master,Pune,260530,128766,733
18,0,Bachelor,Delhi,55922,12483,536
36,18,Master,Pune,146917,66291,661
19,0,Bachelor,Jaipur,64854,25571,542
61,35,Bachelor,Bangalore,278768,111914,664
43,25,Bachelor,Pune,190728,83771,711
49,28,Master,Bangalore,241302,90786,653
23,0,Master,Bangalore,30840,11117,585
49,26,Bachelor,Bangalore,248887,102191,692
21,0,Bachelor,Bangalore,29006,7597,546
28,3,Master,Mumbai,63216,28913,489
34,16,Bachelor,Mumbai,124616,65629,691
55,31,Bachelor,Mumbai,266193,134241,690
41,23,Master,Bangalore,183339,70150,690
22,0,Master,Delhi,46399,10119,545
51,31,Bachelor,Jaipur,245574,73371,694
23,0,PhD,Pune,18000,14376,557
39,14,Master,Bangalore,137467,47349,621
28,8,Bachelor,Delhi,92296,37907,579
33,15,Master,Jaipur,152216,51490,622
50,25,Master,Pune,235840,121640,692
26,6,Bachelor,Pune,105686,31231,599
23,4,Bachelor,Mumbai,75462,30771,571
33,15,Bachelor,Bangalore,143179,77650,649
46,26,Master,Delhi,195589,72128,663
20,1,Bachelor,Delhi,44530,14033,643
37,18,Master,Pune,163724,89748,699
53,30,Master,Pune,243520,114793,730
36,7,Bachelor,Bangalore,97994,43783,507
43,25,Master,Jaipur,225828,67042,699
20,1,Bachelor,Bangalore,29223,17117,541
36,13,Master,Bangalore,114990,44392,575
37,17,Master,Mumbai,151910,45156,620
49,28,Bachelor,Jaipur,222271,119699,655
24,6,Bachelor,Delhi,51381,27769,600
58,33,Bachelor,Jaipur,253551,86523,779
50,26,Bachelor,Pune,200515,95506,713
57,33,Bachelor,Delhi,286126,96600,825
56,36,Bachelor,Bangalore,312542,172800,667
35,8,PhD,Jaipur,78068,28315,569
57,30,Bachelor,Bangalore,256691,65091,662
18,0,Bachelor,Jaipur,47102,22510,599
28,9,Master,Jaipur,75115,27561,586
45,16,Bachelor,Bangalore,153914,70828,637
42,24,PhD,Mumbai,240002,61201,695
40,16,Master,Jaipur,159157,59656,571
48,24,Master,Pune,201320,92840,645
47,18,Bachelor,Delhi,157097,52630,679
59,40,Bachelor,Delhi,284163,153325,728
52,28,Bachelor,Bangalore,240057,70465,621
24,0,Master,Jaipur,66217,29858,513
33,15,Bachelor,Pune,126796,72676,613
43,17,Bachelor,Pune,127966,44984,641
19,0,PhD,Delhi,24536,8567,547
18,0,Bachelor,Mumbai,47223,29367,525
29,4,Bachelor,Jaipur,59072,18064,607
22,0,Bachelor,Delhi,23692,13930,544
54,26,PhD,Mumbai,221287,93552,688
49,24,Bachelor,Delhi,208945,73507,647
26,3,Master,Pune,36674,14852,625
58,32,Master,Jaipur,258740,92315,694
52,30,Bachelor,Mumbai,238540,117219,702
36,16,Master,Bangalore,137386,74077,671
33,13,Bachelor,Bangalore,110744,55353,626
20,2,Bachelor,Jaipur,62118,31166,570
37,8,Master,Delhi,85834,48777,511
41,16,Master,Bangalore,119575,58151,657
50,31,Master,Mumbai,255464,87658,707
41,21,Bachelor,Jaipur,192877,75835,676
28,3,Bachelor,Bangalore,46559,7265,572
25,0,Bachelor,Delhi,29105,14222,527
53,25,Bachelor,Bangalore,204264,88720,710
55,34,Bachelor,Pune,268300,68191,727
57,36,Bachelor,Delhi,304102,78831,678
37,15,Bachelor,Jaipur,139289,54454,677
52,29,Bachelor,Delhi,252093,113929,637
42,20,Bachelor,Bangalore,161467,59695,686
52,28,Bachelor,Bangalore,227244,99184,749
42,23,Master,Pune,209810,80981,620
46,22,Bachelor,Mumbai,178915,98564,655
35,8,PhD,Jaipur,109682,40132,581
63,39,Master,Pune,300574,84046,738
35,17,Bachelor,Bangalore,148175,73516,708
19,0,Master,Pune,59552,22150,506
52,30,Master,Pune,239462,67493,687
33,13,Master,Delhi,128180,49516,675
58,38,Bachelor,Mumbai,310246,85791,727
53,32,Bachelor,Jaipur,262897,118015,672
50,21,Bachelor,Delhi,190325,74633,665
21,2,Bachelor,Pune,47651,24130,592
50,31,Master,Jaipur,231966,124474,689
31,13,Master,Delhi,130224,47239,637
38,16,Bachelor,Pune,137012,84392,574
37,16,Master,Bangalore,159136,82536,577
25,0,Bachelor,Bangalore,58080,33332,532
24,0,Bachelor,Delhi,18000,9886,573
20,1,Master,Delhi,62107,28466,585
34,14,Bachelor,Pune,126834,53387,572
50,26,Bachelor,Pune,217035,80548,708
29,5,Bachelor,Pune,58314,18998,581
39,10,Bachelor,Bangalore,112327,23875,564
39,18,PhD,Delhi,162502,59122,586
63,41,Master,Pune,339153,127746,764
47,25,PhD,Mumbai,199879,75905,726
55,32,Master,Jaipur,285412,82713,711
55,29,Bachelor,Pune,250970,121595,657
62,43,Bachelor,Pune,336864,191280,690
25,3,Master,Jaipur,54288,27242,626
44,15,Bachelor,Delhi,139901,56154,666
44,24,Master,Pune,199379,89794,682
51,30,Master,Mumbai,248026,136176,759
38,11,Bachelor,Jaipur,112365,42875,613
47,24,PhD,Mumbai,194892,70738,648
50,21,Master,Pune,189116,103408,677
45,20,Master,Jaipur,164955,74681,616
64,46,Bachelor,Delhi,360837,143812,740
50,23,Bachelor,Mumbai,196153,60826,695
22,0,Bachelor,Pune,46450,13948,584
36,8,Bachelor,Bangalore,109836,60120,539
21,0,Bachelor,Mumbai,50330,24189,500
52,34,Master,Mumbai,276771,104698,702
34,15,Bachelor,Delhi,146022,52928,596
61,41,Master,Jaipur,317158,140174,774
45,27,PhD,Bangalore,233164,101103,686
47,21,Master,Delhi,196857,66279,701
46,21,Bachelor,Mumbai,160990,86820,667
63,44,Master,Mumbai,348175,103635,744
23,0,Bachelor,Delhi,57021,18352,474
52,28,Bachelor,Bangalore,227655,106836,697
58,32,Master,Mumbai,253381,88374,641
54,31,Bachelor,Mumbai,247202,124709,678
41,18,Bachelor,Pune,139926,68878,611
46,18,Master,Mumbai,166889,86160,619
63,42,Bachelor,Bangalore,329949,97344,707
48,21,Bachelor,Bangalore,188455,51402,625
52,25,Bachelor,Bangalore,219739,72569,720
50,31,Master,Pune,239530,109100,750
38,14,Master,Bangalore,139097,71123,681
49,27,Bachelor,Jaipur,231647,130057,685
40,12,Bachelor,Pune,115674,54725,620
50,27,Bachelor,Bangalore,231801,133015,731
20,1,Bachelor,Pune,42710,22793,496
35,13,Master,Bangalore,117532,50719,647
42,15,Bachelor,Mumbai,147741,49554,677
59,38,Bachelor,Mumbai,297139,145856,704
48,22,Master,Delhi,202455,69771,715
20,0,Master,Jaipur,31412,6973,632
57,38,Master,Pune,281153,124084,771
63,45,Bachelor,Jaipur,353004,194820,798
41,19,Bachelor,Bangalore,172441,46349,600
49,23,Bachelor,Bangalore,182782,98058,707
64,41,Bachelor,Delhi,334758,187505,713
39,12,Master,Pune,132973,60295,624
40,11,Master,Bangalore,103450,29362,623
19,0,Master,Jaipur,24605,6533,418
44,22,Master,Mumbai,187869,90461,676
59,32,Bachelor,Bangalore,251117,120397,814
19,0,Master,Pune,44105,32442,466
43,21,Bachelor,Bangalore,185234,90662,652
34,6,Bachelor,Bangalore,64596,15669,502
57,31,Bachelor,Pune,242662,72665,669
50,27,Bachelor,Mumbai,243315,122797,607
26,0,Bachelor,Pune,61033,25106,556
60,35,PhD,Bangalore,290580,107956,756
56,37,Bachelor,Jaipur,290330,121976,751
46,17,Bachelor,Pune,151900,36583,597
59,33,Bachelor,Mumbai,277245,95159,690
43,21,Master,Mumbai,184138,70581,665
52,28,Master,Jaipur,208848,73755,654
42,15,Master,Bangalore,158978,46952,571
41,23,Bachelor,Jaipur,215187,106764,655
30,3,Master,Delhi,70558,32856,527
24,2,Bachelor,Bangalore,33625,14007,576
53,24,Master,Pune,197947,103352,721
62,35,Master,Jaipur,255634,107341,828
37,18,Bachelor,Mumbai,184440,73656,653
18,0,Bachelor,Pune,28648,18871,575
25,2,Bachelor,Bangalore,85499,43403,536
63,35,Bachelor,Delhi,313328,177123,703
33,15,Bachelor,Pune,125448,40115,676
31,11,Master,Pune,101375,29440,593
29,7,Bachelor,Jaipur,91992,51362,587
40,19,Bachelor,Bangalore,142181,51329,693
32,12,Bachelor,Mumbai,112426,40991,599
45,18,Bachelor,Delhi,156427,71871,700
51,29,Master,Bangalore,266767,138105,717
19,0,Bachelor,Mumbai,36915,25434,568
49,24,Master,Pune,201228,63751,644
40,12,Master,Mumbai,113527,60646,630
39,18,Master,Jaipur,174910,40987,622
42,24,Master,Jaipur,194549,50006,688
39,11,Bachelor,Bangalore,115245,54884,600
39,15,PhD,Jaipur,132413,40950,663
59,34,Bachelor,Pune,252736,97986,718
23,3,Bachelor,Bangalore,41059,15337,646
32,9,Master,Delhi,91970,31519,583
60,41,PhD,Bangalore,317551,119611,733
54,30,Master,Bangalore,243708,83675,713
50,25,Bachelor,Jaipur,211166,82198,718
25,2,Bachelor,Bangalore,43169,14395,602
61,38,PhD,Jaipur,322736,167909,746
61,39,Bachelor,Pune,323219,163703,758
22,0,Master,Delhi,33973,12753,563
56,38,Master,Jaipur,303813,165769,696
21,0,Bachelor,Bangalore,29918,8533,590
23,2,Bachelor,Mumbai,18000,5000,509
62,41,Bachelor,Pune,322807,176095,711
49,29,Bachelor,Delhi,242584,93344,697
47,27,Master,Bangalore,199810,121052,672
64,43,Bachelor,Bangalore,343991,133560,796
52,24,Master,Bangalore,202791,107691,687
57,39,Bachelor,Jaipur,312069,112030,750
33,5,PhD,Bangalore,70244,27130,529
30,2,Bachelor,Mumbai,71764,30847,561
59,40,Bachelor,Bangalore,317893,164708,747
47,21,Bachelor,Jaipur,200036,90014,663
36,9,Master,Delhi,117770,71721,577
34,15,Master,Mumbai,122706,39956,645
36,14,Master,Delhi,122914,32508,606
45,19,Bachelor,Delhi,177774,82376,662
43,17,Bachelor,Pune,151516,74719,666
54,29,Bachelor,Pune,236920,124744,673
43,25,Bachelor,Mumbai,228298,76063,644
40,22,Bachelor,Pune,183344,85464,679
26,0,PhD,Mumbai,23466,14702,497
29,1,PhD,Jaipur,33492,15851,599
18,0,PhD,Jaipur,66735,26230,550
18,0,Master,Mumbai,31326,9481,545
64,38,Bachelor,Jaipur,283536,110987,761
51,27,Bachelor,Pune,199458,107126,704
49,29,Bachelor,Mumbai,228630,126780,695
42,22,Master,Mumbai,186052,78214,695
57,38,Bachelor,Bangalore,314737,126417,713
62,40,Bachelor,Pune,328785,122969,778
18,0,Bachelor,Jaipur,33904,9325,506
33,4,Bachelor,Pune,60687,29851,590
56,36,Master,Jaipur,292094,139667,716
22,0,Master,Bangalore,18000,6338,497
39,20,Bachelor,Pune,204216,74285,660
46,17,PhD,Pune,168311,51719,633
20,0,Master,Mumbai,48004,13319,488
29,7,Bachelor,Bangalore,68887,20131,500
43,14,Bachelor,Pune,156739,57834,613
33,5,Bachelor,Delhi,67099,17821,639
54,26,Bachelor,Pune,206711,67087,692
39,21,PhD,Delhi,180412,75884,628
46,28,Bachelor,Bangalore,229061,68768,733
31,4,Master,Pune,50321,11548,606
45,19,Bachelor,Mumbai,157575,56379,695
22,0,Bachelor,Mumbai,21401,8216,577
64,46,Bachelor,Bangalore,341544,149918,815
47,18,Bachelor,Jaipur,159678,55328,669
63,38,Bachelor,Delhi,282665,131748,720
22,2,PhD,Jaipur,38629,21072,494
29,4,Bachelor,Delhi,81177,34594,549
33,11,Master,Jaipur,125349,52786,649
43,25,Bachelor,Jaipur,193251,110930,659
43,19,Bachelor,Bangalore,184373,96925,639
38,16,Bachelor,Bangalore,118503,36286,583
56,33,Master,Bangalore,303937,124083,692
53,30,Bachelor,Bangalore,266004,144856,699
50,25,Bachelor,Delhi,204104,82725,694
47,21,Master,Delhi,190736,58019,636
54,35,Bachelor,Delhi,258486,132822,703
40,14,Bachelor,Bangalore,136906,78544,653
27,0,Bachelor,Mumbai,35745,11151,563
22,0,PhD,Bangalore,23478,17336,567
53,26,Master,Jaipur,213471,66901,741
51,25,Bachelor,Mumbai,204495,99554,654
48,21,Bachelor,Bangalore,168523,52547,653
27,0,PhD,Bangalore,25627,8374,572
36,12,Master,Pune,99372,54653,575
49,31,Bachelor,Jaipur,263859,105224,714
18,0,Master,Jaipur,20018,8446,550
22,0,Bachelor,Jaipur,18000,5000,661
62,40,Bachelor,Delhi,328622,111046,753
21,0,Master,Pune,41044,24425,596
33,6,Bachelor,Pune,92567,34218,613
41,17,PhD,Mumbai,169741,69752,588
33,11,Master,Jaipur,142061,45488,543
19,0,Master,Delhi,32159,15759,559
45,19,Bachelor,Pune,149135,81252,695
49,29,Bachelor,Mumbai,242065,146931,706
44,19,Bachelor,Bangalore,160464,66252,648
37,18,Master,Pune,146137,63670,628
41,13,Bachelor,Bangalore,131498,58690,562
29,5,Bachelor,Bangalore,84986,48024,536
52,33,Master,Mumbai,252960,81270,650
50,29,Bachelor,Pune,257615,155256,650
50,26,Master,Delhi,204155,70887,658
60,40,Bachelor,Bangalore,311341,190955,781
54,35,PhD,Jaipur,285294,149625,707
29,1,Bachelor,Pune,40181,18608,565
20,0,Bachelor,Bangalore,18000,5000,555
18,0,Bachelor,Pune,47911,15195,569
50,32,Bachelor,Pune,248648,96667,668
57,32,Master,Jaipur,272673,94164,752
27,7,Master,Bangalore,65037,12464,528
60,31,Master,Mumbai,240098,109386,687
61,32,Bachelor,Mumbai,276436,107435,709
46,27,Bachelor,Mumbai,228607,104087,715
30,10,Bachelor,Bangalore,98421,55613,655
29,7,Master,Delhi,90325,23113,615
48,20,Master,Bangalore,164689,103178,706
63,38,Bachelor,Mumbai,305153,90498,706
19,0,Bachelor,Mumbai,36428,13009,597
52,28,Master,Jaipur,227393,98207,730
40,16,Master,Bangalore,136470,72663,534
34,5,Master,Delhi,75553,22731,566
43,19,Master,Pune,169175,64980,669
25,0,Bachelor,Delhi,30512,6350,529
46,28,Bachelor,Pune,214492,77103,646
43,22,Master,Pune,189687,86690,744
27,4,Master,Mumbai,57550,34437,574
43,17,Bachelor,Pune,141480,88274,640
51,32,Master,Bangalore,259152,69275,657
58,40,Master,Bangalore,338124,108868,725
24,0,Master,Delhi,31497,17093,514
21,0,Master,Mumbai,57966,25157,593
62,43,Bachelor,Jaipur,367214,123933,785
28,4,Bachelor,Mumbai,50698,17163,547
46,26,Bachelor,Bangalore,217135,135238,702
53,26,Master,Bangalore,252055,140394,669
42,23,Master,Bangalore,193683,53682,674
38,10,Master,Delhi,109552,37736,609
53,29,Bachelor,Mumbai,214949,74535,711
27,8,Master,Pune,82525,17721,601
54,34,Master,Mumbai,281333,127183,736
26,0,Master,Mumbai,74439,32001,600
41,17,Master,Delhi,153059,94691,660
52,31,Master,Bangalore,227560,119389,691
52,34,Bachelor,Jaipur,250921,114322,716
53,31,Bachelor,Delhi,252463,117682,754
35,6,Bachelor,Delhi,99158,34604,584
56,30,Bachelor,Mumbai,257560,129382,685
49,24,Master,Pune,212403,83398,644
41,12,Master,Bangalore,143137,44745,620
40,14,Bachelor,Bangalore,125196,49983,585
49,22,Bachelor,Pune,192786,72708,711
54,28,Master,Bangalore,226194,138731,648
29,5,Bachelor,Jaipur,67928,23523,634
30,9,Bachelor,Pune,83405,32312,583
40,18,Bachelor,Mumbai,156840,60034,596
42,24,Bachelor,Mumbai,201584,99892,677
52,34,Bachelor,Delhi,266427,73056,681
58,38,Bachelor,Mumbai,298584,178299,741
47,22,Bachelor,Jaipur,197575,110720,636
34,15,Master,Bangalore,158080,71769,662
37,16,Bachelor,Mumbai,167167,89960,635
42,23,Master,Pune,206921,51609,617
39,17,Bachelor,Bangalore,136100,56209,611
30,4,Bachelor,Delhi,60593,38558,598
36,18,Master,Mumbai,155885,47476,691
53,31,Bachelor,Bangalore,243142,79984,703
29,3,Bachelor,Pune,64135,30967,523
58,40,Master,Delhi,290085,108347,792
36,10,Master,Mumbai,133403,67866,628
29,4,Bachelor,Bangalore,83428,23745,622
26,5,Bachelor,Mumbai,77673,46907,586
24,0,Master,Bangalore,36068,14852,529
45,17,Bachelor,Bangalore,176432,94491,655
31,4,Master,Mumbai,76841,34612,583
48,26,Master,Jaipur,234599,102054,657
36,14,PhD,Bangalore,133114,75743,627
64,36,Bachelor,Delhi,317839,131856,722
33,4,Master,Bangalore,85003,33441,599
22,0,Bachelor,Pune,43643,29613,569
52,28,Bachelor,Pune,251839,125870,647
29,4,Bachelor,Delhi,59212,22229,523
42,17,Master,Jaipur,138987,85627,631
38,10,Bachelor,Bangalore,113823,35991,601
53,34,Bachelor,Delhi,271643,110041,750
40,14,Bachelor,Delhi,133034,65460,640
33,9,Master,Delhi,118244,56801,653
56,35,Master,Pune,283007,155236,706
62,41,Master,Delhi,326453,199002,734
59,31,Bachelor,Delhi,251094,98575,666
56,31,Bachelor,Jaipur,267716,81041,734
31,10,Master,Mumbai,116028,34563,600
48,25,Bachelor,Delhi,224604,110024,600
22,0,Bachelor,Delhi,28541,20079,558
52,32,Master,Delhi,278561,95826,720
40,13,PhD,Mumbai,157081,39176,609
46,18,Master,Pune,177630,49742,651
60,41,Master,Delhi,309360,163886,706
28,2,PhD,Delhi,39966,20862,625
35,8,Bachelor,Pune,88869,32128,605
64,38,Master,Pune,295534,119189,669
29,11,PhD,Bangalore,109933,59633,604
26,0,Bachelor,Bangalore,47486,18203,566
27,7,Master,Mumbai,88349,45354,540
61,36,Master,Bangalore,292534,87076,751
34,11,Master,Bangalore,109881,47119,672
55,33,Master,Mumbai,265892,140776,689
24,2,PhD,Jaipur,61948,42081,577
63,40,Master,Delhi,286320,94152,758
30,6,Bachelor,Pune,78829,19332,618
57,39,Master,Delhi,311319,87949,740
59,33,Bachelor,Pune,280753,110565,672
26,6,Bachelor,Bangalore,61849,28291,616
44,23,Bachelor,Pune,180556,49847,624
19,0,Bachelor,Delhi,43259,12221,622
22,4,Bachelor,Bangalore,33433,15073,592
46,18,PhD,Bangalore,184982,44108,616
54,27,Master,Pune,230898,103924,729
55,35,Master,Bangalore,303380,106711,724
36,17,Bachelor,Bangalore,137193,43414,626
25,6,PhD,Bangalore,69954,34760,552
62,44,PhD,Mumbai,305881,129699,694
18,0,Master,Bangalore,22064,5000,574
39,19,Bachelor,Delhi,165242,97649,579
34,14,Bachelor,Jaipur,103559,44298,588
24,1,Bachelor,Pune,37580,23275,572
42,17,Bachelor,Jaipur,126689,38707,614
62,36,Bachelor,Mumbai,286138,78004,736
21,0,PhD,Jaipur,52706,13437,501
53,32,Bachelor,Pune,258975,85155,696
23,1,Bachelor,Pune,67873,30769,561
